variable,cluster,sex,n,cluster_total,fraction,age_group,bmi_cat,bp_cat
sex,0,1.0,51,63,0.8095238095238095,,,
sex,0,2.0,12,63,0.19047619047619047,,,
sex,1,1.0,38,57,0.6666666666666666,,,
sex,1,2.0,19,57,0.3333333333333333,,,
sex,2,1.0,51,60,0.85,,,
sex,2,2.0,9,60,0.15,,,
sex,3,1.0,49,65,0.7538461538461538,,,
sex,3,2.0,16,65,0.24615384615384617,,,
sex,4,1.0,34,52,0.6538461538461539,,,
sex,4,2.0,18,52,0.34615384615384615,,,
sex,5,1.0,53,73,0.726027397260274,,,
sex,5,2.0,20,73,0.273972602739726,,,
sex,6,1.0,45,52,0.8653846153846154,,,
sex,6,2.0,7,52,0.1346153846153846,,,
sex,7,1.0,18,54,0.3333333333333333,,,
sex,7,2.0,36,54,0.6666666666666666,,,
sex,8,1.0,27,54,0.5,,,
sex,8,2.0,27,54,0.5,,,
age_group,0,,26,63,0.4126984126984127,60-69,,
age_group,0,,31,63,0.49206349206349204,70-79,,
age_group,0,,4,63,0.06349206349206349,80+,,
age_group,0,,2,63,0.031746031746031744,<60,,
age_group,1,,11,57,0.19298245614035087,60-69,,
age_group,1,,33,57,0.5789473684210527,70-79,,
age_group,1,,13,57,0.22807017543859648,80+,,
age_group,2,,32,60,0.5333333333333333,60-69,,
age_group,2,,27,60,0.45,70-79,,
age_group,2,,1,60,0.016666666666666666,80+,,
age_group,3,,28,65,0.4307692307692308,60-69,,
age_group,3,,33,65,0.5076923076923077,70-79,,
age_group,3,,3,65,0.046153846153846156,80+,,
age_group,3,,1,65,0.015384615384615385,<60,,
age_group,4,,31,52,0.5961538461538461,60-69,,
age_group,4,,20,52,0.38461538461538464,70-79,,
age_group,4,,1,52,0.019230769230769232,80+,,
age_group,5,,21,73,0.2876712328767123,60-69,,
age_group,5,,47,73,0.6438356164383562,70-79,,
age_group,5,,5,73,0.0684931506849315,80+,,
age_group,6,,33,52,0.6346153846153846,60-69,,
age_group,6,,17,52,0.3269230769230769,70-79,,
age_group,6,,2,52,0.038461538461538464,<60,,
age_group,7,,24,54,0.4444444444444444,60-69,,
age_group,7,,25,54,0.46296296296296297,70-79,,
age_group,7,,5,54,0.09259259259259259,<60,,
age_group,8,,13,54,0.24074074074074073,60-69,,
age_group,8,,28,54,0.5185185185185185,70-79,,
age_group,8,,13,54,0.24074074074074073,80+,,
bmi_cat,0,,1,63,0.015873015873015872,,low,
bmi_cat,0,,30,63,0.47619047619047616,,normal,
bmi_cat,0,,12,63,0.19047619047619047,,obesity,
bmi_cat,0,,20,63,0.31746031746031744,,overweight,
bmi_cat,1,,1,57,0.017543859649122806,,low,
bmi_cat,1,,18,57,0.3157894736842105,,normal,
bmi_cat,1,,17,57,0.2982456140350877,,obesity,
bmi_cat,1,,21,57,0.3684210526315789,,overweight,
bmi_cat,2,,8,60,0.13333333333333333,,low,
bmi_cat,2,,31,60,0.5166666666666667,,normal,
bmi_cat,2,,8,60,0.13333333333333333,,obesity,
bmi_cat,2,,13,60,0.21666666666666667,,overweight,
bmi_cat,3,,2,65,0.03076923076923077,,low,
bmi_cat,3,,18,65,0.27692307692307694,,normal,
bmi_cat,3,,22,65,0.3384615384615385,,obesity,
bmi_cat,3,,23,65,0.35384615384615387,,overweight,
bmi_cat,4,,14,52,0.2692307692307692,,normal,
bmi_cat,4,,20,52,0.38461538461538464,,obesity,
bmi_cat,4,,18,52,0.34615384615384615,,overweight,
bmi_cat,5,,2,73,0.0273972602739726,,low,
bmi_cat,5,,18,73,0.2465753424657534,,normal,
bmi_cat,5,,27,73,0.3698630136986301,,obesity,
bmi_cat,5,,26,73,0.3561643835616438,,overweight,
bmi_cat,6,,50,52,0.9615384615384616,,obesity,
bmi_cat,6,,2,52,0.038461538461538464,,overweight,
bmi_cat,7,,6,54,0.1111111111111111,,low,
bmi_cat,7,,18,54,0.3333333333333333,,normal,
bmi_cat,7,,12,54,0.2222222222222222,,obesity,
bmi_cat,7,,18,54,0.3333333333333333,,overweight,
bmi_cat,8,,3,54,0.05555555555555555,,low,
bmi_cat,8,,14,54,0.25925925925925924,,normal,
bmi_cat,8,,16,54,0.2962962962962963,,obesity,
bmi_cat,8,,21,54,0.3888888888888889,,overweight,
bp_cat,0,,63,63,1.0,,,normal
bp_cat,1,,15,57,0.2631578947368421,,,high
bp_cat,1,,42,57,0.7368421052631579,,,normal
bp_cat,2,,6,60,0.1,,,high
bp_cat,2,,54,60,0.9,,,normal
bp_cat,3,,21,65,0.3230769230769231,,,high
bp_cat,3,,44,65,0.676923076923077,,,normal
bp_cat,4,,37,52,0.7115384615384616,,,high
bp_cat,4,,15,52,0.28846153846153844,,,normal
bp_cat,5,,57,73,0.7808219178082192,,,high
bp_cat,5,,16,73,0.2191780821917808,,,normal
bp_cat,6,,52,52,1.0,,,normal
bp_cat,7,,15,54,0.2777777777777778,,,high
bp_cat,7,,39,54,0.7222222222222222,,,normal
bp_cat,8,,10,54,0.18518518518518517,,,high
bp_cat,8,,44,54,0.8148148148148148,,,normal
