status,algorithm,family,space_name,params_json,n_clusters,n_noise,noise_fraction,n_clustered,min_cluster_size,max_cluster_size,median_cluster_size,cluster_size_entropy,imbalance_ratio,silhouette,calinski_harabasz,davies_bouldin,experiment_id,pass_k,pass_min_cluster,pass_noise,pass_silhouette,pass_max_cluster_fraction,pass_all_filters,k_penalty,sil_norm,db_norm,ch_norm,noise_norm,S_struct,hrv_var_reduction,hrv_iqr_compactness,S_hrv_intra_raw,S_hrv_rel_raw,E_ext_raw,D_dom_raw,S_desc_raw,hrv_intra_norm,hrv_rel_norm,desc_norm,struct_norm,S_primary,n_clusters_real,min_cluster_size_real,max_cluster_size_real,n_sig_cont,n_sig_cat,mean_eff_cont,mean_eff_cat,mean_eff_hrv,mean_eff_ext
ok,optics,density-based,umap_hrv_log_nn30_md00,"{""min_cluster_size"": 0.05, ""min_samples"": 20, ""xi"": 0.05}",8,221,0.4169811320754717,309,27.0,64.0,33.0,2.931699397157766,2.3703703703703702,0.7539946436882019,8215.08657848909,0.323285155296789,11855,True,True,True,True,True,True,0,0.9015040831296414,0.9848952263963848,0.8508195811198813,0.1660377358490565,0.7820017790867131,0.3873619000731259,0.3918841080244932,0.3891707832536728,0.7252273077515795,0.0521432492670774,0.6333895314078303,-0.1535165849353948,0.8705021139110196,0.3868845098787248,0.2038247717408718,0.9999999999999998,0.6728175961927761,8,27,64,7,1,0.29649159451920293,0.1374266918272339,0.6244802419845783,0.05214324926707744
ok,optics,density-based,umap_hrv_log_nn30_md00,"{""min_cluster_size"": 0.05, ""min_samples"": 5, ""xi"": 0.1}",8,216,0.4075471698113208,314,26.0,55.0,37.5,2.950280175224776,2.1153846153846154,0.7319109439849854,7460.501413321796,0.3745072819931831,11822,True,True,True,True,True,True,0,0.8750599715183741,0.9737626783587934,0.7724452707723298,0.1849056603773584,0.7507563942510193,0.3871351420957126,0.3329855951153587,0.365475323303571,0.7013952077646345,0.0516389218074583,0.6468742951800264,-0.157915043288787,0.8242155029338407,0.3337066283922176,0.1967683634412475,0.9598415277706842,0.6345308063362083,8,26,55,7,1,0.2911423003791051,0.13732349688942858,0.6138230616506843,0.05163892180745838
ok,kmeans,centroid-based,hrv_raw_scaled,"{""n_clusters"": 6}",6,0,0.0,530,10.0,172.0,84.5,1.9917124498676595,17.2,0.2778030223018009,152.63491081633654,1.1673009307017497,4,True,True,True,True,True,True,0,0.3312887408852353,0.801457974369084,0.0134202810366016,1.0,0.3597435218797079,0.5853174305646345,0.1095591109974537,0.3950141027377621,0.9194070080862532,0.0303947533403538,0.5780444688175503,-0.1521370133070174,0.8819164294104853,0.8201684041700075,0.2060380064486419,0.4572879615719989,0.6282340228103994,6,10,172,8,1,0.2133537840803251,0.08070200014472553,0.4511968173856475,0.03039475334035382
ok,kmeans,centroid-based,hrv_raw_scaled,"{""n_clusters"": 5}",5,0,0.0,530,15.0,172.0,157.0,1.8895361080968467,11.466666666666669,0.2578019915619012,153.49347503559397,1.274984177296138,3,True,True,True,True,True,True,0,0.3073385198473511,0.7780542425665886,0.0135094550379994,1.0,0.3443621184760493,0.5322672338745428,0.1019378454197059,0.360135478492608,0.9073674752920036,0.0282626322154567,0.6670846932986887,-0.1803415654387868,0.8137846727256897,0.7933039294306337,0.1607896899342171,0.4375188447990126,0.5850230705267147,5,15,172,8,1,0.2069236914913563,0.07431651415004192,0.4374242631978615,0.028262632215456777
ok,gmm,model-based,umap_integrated_nn10_md00,"{""covariance_type"": ""tied"", ""n_components"": 7}",7,0,0.0,530,50.0,103.0,75.0,2.761042826801645,2.06,0.4247413575649261,670.8504975648824,0.7767097032751754,13436,True,True,True,True,True,True,0,0.5072399533130123,0.8863485457458145,0.067244277448941,1.0,0.4602496167455339,0.2262980467438847,-0.1338620818846774,0.0822339952924598,0.9626235399820304,0.2448190366480865,0.162468032733574,0.1226329158335883,0.2709330939864031,0.916599839615076,0.6468490026422624,0.5864645180705264,0.5541324808643403,7,50,103,15,4,0.24696841154866103,0.3246925767447871,0.2950668629188607,0.24481903664808655
ok,birch,hierarchical-centroid,umap_integrated_nn10_md00,"{""branching_factor"": 25, ""n_clusters"": 7, ""threshold"": 1.0}",7,0,0.0,530,54.0,105.0,76.0,2.761948842218172,1.9444444444444444,0.428874135017395,682.0206292221428,0.7691817509608408,13944,True,True,True,True,True,True,0,0.5121887449415138,0.8879846607642471,0.0684044531395604,1.0,0.462762572243694,0.2491333442579031,-0.1462018411908051,0.0909992700784198,0.9362982929020666,0.2408805997036907,0.1695976236753804,0.1177371326899693,0.2880551445809121,0.857858861267041,0.6389947405276397,0.5896943215796541,0.5476136013571689,7,54,105,15,4,0.2543687819400834,0.31632264356353756,0.31289358670158735,0.24088059970369072
ok,spectral,graph-based,umap_integrated_nn10_md01,"{""affinity"": ""rbf"", ""n_clusters"": 5}",5,0,0.0,530,66.0,138.0,124.0,2.256948194568946,2.090909090909091,0.4239024817943573,600.0883477939026,0.7693954128841287,14411,True,True,True,True,True,True,0,0.5062354420760805,0.8879382237695689,0.0598946303275573,1.0,0.4585375294393881,0.2382390842580876,-0.1861657793561078,0.0684771388124094,0.9561545372866128,0.25129133004124,0.1859128502608512,0.1201300759506126,0.2440605088793036,0.9021651964715316,0.6428337184895229,0.5842640391550139,0.5404869708887207,5,66,138,14,4,0.23040435407605173,0.3253890818713112,0.2488750968758772,0.25129133004124005
ok,leiden_knn,community-graph,umap_integrated_nn10_md03,"{""n_neighbors"": 20, ""resolution"": 0.5}",6,0,0.0,530,42.0,133.0,88.5,2.494307128077325,3.1666666666666665,0.373335063457489,463.7540290677149,0.7913492052580459,15252,True,True,True,True,True,True,0,0.4456835204160056,0.8831668160992359,0.0457343887801379,1.0,0.4323728741704072,0.2506243175634507,-0.1747469772711143,0.0804757996296246,0.9465408805031446,0.2528932824077077,0.1859595065479637,0.1212374457210063,0.2674986420348989,0.8807137129109863,0.6446102621352146,0.5506356301104671,0.5363482272490716,6,42,133,15,4,0.2505155251748425,0.3276926286905026,0.2905405719274505,0.25289328240770775
ok,spectral,graph-based,umap_integrated_nn10_md03,"{""affinity"": ""nearest_neighbors"", ""n_clusters"": 9}",9,0,0.0,530,37.0,101.0,58.0,3.107224490982148,2.72972972972973,0.3843747675418854,530.7802585584104,0.7649200732529036,15054,True,True,True,True,True,True,1,0.4589030067741098,0.8889108880582748,0.0526960078975311,1.0,0.3404633207628036,0.2505141382432224,-0.1546901588129598,0.0884324194207495,0.9293800539083558,0.3228378373330975,0.1568442295132978,0.1789332172791789,0.2830410693918971,0.842421812349639,0.7371710842610705,0.4325078724420251,0.5231099217198122,9,37,101,15,4,0.2933998013247815,0.3740725555577661,0.28903331344365946,0.32283783733309757
ok,affinity_propagation,message-passing,umap_integrated_nn10_md01,"{""damping"": 0.7, ""preference"": -50}",9,0,0.0,530,52.0,73.0,57.0,3.1609023545641186,1.4038461538461535,0.4262900054454803,687.7798418568657,0.7720688992662946,14469,True,True,True,True,True,True,1,0.5090943806938539,0.8873571718395363,0.0690026285864515,1.0,0.3616408419413226,0.2626090381160401,-0.1573101770706843,0.0946413520413503,0.8977538185085354,0.3094908617097841,0.156056210867535,0.1698267399365884,0.2951695720417068,0.7718524458700879,0.7225616422389495,0.4597265129102252,0.5171237960639612,9,52,73,15,4,0.30458146508334744,0.3523598327666283,0.3234672809713306,0.3094908617097841
