algorithm,n_runs,silhouette_mean,silhouette_max,ch_mean,ch_max,db_mean,db_min,mean_clusters,mean_noise_fraction
affinity_propagation,608,0.37368770428519865,0.6209030151367188,1588.3497328611568,12935.947574802753,0.782914309119847,0.0714930179552788,57.71217105263158,0.0
agglomerative,4408,0.27006693190622494,0.7843692302703857,958.4011742543692,9988.03086020204,0.8428404138262204,0.2386374872731366,16.0,0.0
birch,4560,0.3675288814322644,0.7843692302703857,970.8778304873716,17027.402385567784,0.913887745129648,0.020689269959136895,19.88925438596491,0.0
bisecting_kmeans,1102,0.31616428210016534,0.7843692302703857,1064.5103002994517,7056.276369142462,1.0426285421971917,0.2386374872731366,16.0,0.0
dbscan,912,0.5120508749816454,0.969929575920105,2014.6159763355038,34561.32073868889,0.572097574579062,0.04253215360019576,2.9342105263157894,0.4156156901688183
gmm,4408,0.345537559863713,0.7843692302703857,1118.0723584693583,9750.057260811815,0.9778233524808254,0.2386374872731366,15.996597096188747,0.0
hdbscan,1900,0.4905727683247467,0.7313847428489015,1017.857180182614,14453.591158564032,0.6470006473843936,0.3051934155316265,6.516315789473684,0.41142502482621646
kmeans,1102,0.38912273264077996,0.7843692302703857,1308.9951245648638,10377.421599469088,0.8689275058664392,0.2386374872731366,16.0,0.0
leiden_knn,912,0.34910738880424036,0.6227512359619141,1156.0187172905958,9597.877162104633,0.9260180184643079,0.5122442018839408,13.712719298245615,0.0
meanshift,228,0.41768502121836515,0.7843692302703857,846.3181261767705,4831.308520782536,0.8534776149370581,0.2386374872731366,4.864035087719298,0.0
optics,1824,0.6214366849086238,0.9500478506088257,1987.4865719337374,15384.867559091981,0.5264370759433643,0.068862647184292,5.06140350877193,0.4294366517709368
spectral,2204,0.30350822229968594,0.7843692302703857,947.9483103998768,9679.892782070996,0.9923712547894592,0.2386374872731366,16.0,0.0
