,log_t2m_pre_sdnn,log_t2m_pre_rmssd,log_t2m_pre_hf,log_t2m_pre_lf,log_t2m_pre_vlf,age,weight_kg,height_m_final,imc_final,bp_systolic,bp_diastolic,bp_pam,bp_pp
log_t2m_pre_sdnn,1.0,0.5960224284557102,0.5339629800871291,0.5898236479692267,0.42788483186941284,-0.005884169012358566,-0.026647008997849674,-0.07029048990935266,0.014883889137008357,0.051599384078588086,-0.01847777993688323,0.008618705607598517,0.09556701954121295
log_t2m_pre_rmssd,0.5960224284557102,1.0,0.6161634452804172,0.370170656506131,0.2826344051346365,-0.03703247301137541,-0.08505194373149998,-0.07969735103421069,-0.05205415511901574,0.05806221566801023,-0.04114181987032292,0.00338849459953348,0.11350653610064142
log_t2m_pre_hf,0.5339629800871291,0.6161634452804172,1.0,0.6264525082661202,0.40979320386332074,-0.0879390011094135,-0.06385881754084513,-0.11655256660727847,0.018454455640271702,-0.011806765629915665,-0.0585067079650496,-0.039521860417004076,0.038404604885244
log_t2m_pre_lf,0.5898236479692267,0.370170656506131,0.6264525082661202,1.0,0.7687431167366174,-0.07122605327155236,-0.05809676510123584,-0.06894457708455048,-0.00813943464310891,0.000491951842341403,0.0077259026475335535,0.005205935174121594,0.01368437630596662
log_t2m_pre_vlf,0.42788483186941284,0.2826344051346365,0.40979320386332074,0.7687431167366174,1.0,-0.061764154205737845,-0.04880379819018249,-0.0938949707723348,0.028189796482955578,0.007688362869277538,-0.0007217091045971242,0.0010240155624673675,0.04194564174395834
age,-0.005884169012358566,-0.03703247301137541,-0.0879390011094135,-0.07122605327155236,-0.061764154205737845,1.0,-0.09899815201290012,-0.023000742427583366,-0.08386372415600264,0.05652615664315679,-0.14342962516770327,-0.06502607628023269,0.17234770720246778
weight_kg,-0.026647008997849674,-0.08505194373149998,-0.06385881754084513,-0.05809676510123584,-0.04880379819018249,-0.09899815201290012,1.0,0.3606728434841951,0.7695723128675442,0.09343605956220838,0.12363782609262736,0.1307341760434171,0.020012715932945783
height_m_final,-0.07029048990935266,-0.07969735103421069,-0.11655256660727847,-0.06894457708455048,-0.0938949707723348,-0.023000742427583366,0.3606728434841951,1.0,-0.2568634547874457,0.05785465242594334,0.07964124450561191,0.07837247527753059,0.004799227391391797
imc_final,0.014883889137008357,-0.05205415511901574,0.018454455640271702,-0.00813943464310891,0.028189796482955578,-0.08386372415600264,0.7695723128675442,-0.2568634547874457,1.0,0.06381453188751157,0.08574437263742091,0.09293293248379493,0.017045692084354802
bp_systolic,0.051599384078588086,0.05806221566801023,-0.011806765629915665,0.000491951842341403,0.007688362869277538,0.05652615664315679,0.09343605956220838,0.05785465242594334,0.06381453188751157,1.0,0.5533371216676081,0.8414200980495131,0.7870397163147574
bp_diastolic,-0.01847777993688323,-0.04114181987032292,-0.0585067079650496,0.0077259026475335535,-0.0007217091045971242,-0.14342962516770327,0.12363782609262736,0.07964124450561191,0.08574437263742091,0.5533371216676081,1.0,0.9055922010805796,-0.02562446489504736
bp_pam,0.008618705607598517,0.00338849459953348,-0.039521860417004076,0.005205935174121594,0.0010240155624673675,-0.06502607628023269,0.1307341760434171,0.07837247527753059,0.09293293248379493,0.8414200980495131,0.9055922010805796,1.0,0.3655160900423495
bp_pp,0.09556701954121295,0.11350653610064142,0.038404604885244,0.01368437630596662,0.04194564174395834,0.17234770720246778,0.020012715932945783,0.004799227391391797,0.017045692084354802,0.7870397163147574,-0.02562446489504736,0.3655160900423495,1.0
