status,algorithm,family,space_name,params_json,n_clusters,n_noise,noise_fraction,n_clustered,min_cluster_size,max_cluster_size,median_cluster_size,cluster_size_entropy,imbalance_ratio,silhouette,calinski_harabasz,davies_bouldin,experiment_id,pass_k,pass_min_cluster,pass_noise,pass_silhouette,pass_max_cluster_fraction,pass_all_filters,k_penalty,sil_norm,db_norm,ch_norm,noise_norm,S_struct,hrv_var_reduction,hrv_iqr_compactness,S_hrv_intra_raw,S_hrv_rel_raw,E_ext_raw,D_dom_raw,S_desc_raw,hrv_intra_norm,hrv_rel_norm,desc_norm,struct_norm,S_primary
ok,optics,density-based,umap_hrv_log_nn30_md00,"{""min_cluster_size"": 0.05, ""min_samples"": 20, ""xi"": 0.05}",8,221,0.4169811320754717,309,27.0,64.0,33.0,2.931699397157766,2.3703703703703702,0.7539946436882019,8215.08657848909,0.323285155296789,11855,True,True,True,True,True,True,0,0.9015040831296414,0.9848952263963849,0.8508195811198813,0.16603773584905657,0.7820017790867131,0.38736190007312593,0.3918841080244932,0.3891707832536728,0.7252273077515795,0.05214324926707744,0.6333895314078303,-0.15351658493539488,0.8705021139110196,0.3868845098787248,0.2038247717408718,0.9999999999999998,0.6728175961927761
ok,optics,density-based,umap_hrv_log_nn30_md00,"{""min_cluster_size"": 0.05, ""min_samples"": 5, ""xi"": 0.1}",8,216,0.4075471698113208,314,26.0,55.0,37.5,2.950280175224776,2.1153846153846154,0.7319109439849854,7460.501413321796,0.3745072819931831,11822,True,True,True,True,True,True,0,0.8750599715183741,0.9737626783587934,0.7724452707723298,0.18490566037735845,0.7507563942510193,0.3871351420957126,0.3329855951153587,0.365475323303571,0.7013952077646345,0.05163892180745838,0.6468742951800264,-0.15791504328878703,0.8242155029338407,0.33370662839221765,0.19676836344124754,0.9598415277706842,0.6345308063362083
ok,kmeans,centroid-based,hrv_raw_scaled,"{""n_clusters"": 6}",6,0,0.0,530,10.0,172.0,84.5,1.9917124498676595,17.2,0.2778030223018009,152.63491081633654,1.1673009307017497,4,True,True,True,True,True,True,0,0.3312887408852353,0.801457974369084,0.013420281036601624,1.0,0.35974352187970793,0.5853174305646345,0.10955911099745376,0.39501410273776216,0.9194070080862532,0.03039475334035382,0.5780444688175503,-0.15213701330701743,0.8819164294104853,0.8201684041700075,0.2060380064486419,0.4572879615719989,0.6282340228103994
ok,kmeans,centroid-based,hrv_raw_scaled,"{""n_clusters"": 5}",5,0,0.0,530,15.0,172.0,157.0,1.8895361080968467,11.466666666666669,0.2578019915619012,153.49347503559397,1.274984177296138,3,True,True,True,True,True,True,0,0.3073385198473511,0.7780542425665886,0.01350945503799942,1.0,0.3443621184760493,0.5322672338745428,0.1019378454197059,0.360135478492608,0.9073674752920036,0.028262632215456777,0.6670846932986887,-0.18034156543878685,0.8137846727256897,0.7933039294306337,0.16078968993421716,0.43751884479901265,0.5850230705267147
ok,gmm,model-based,umap_integrated_nn10_md00,"{""covariance_type"": ""tied"", ""n_components"": 7}",7,0,0.0,530,50.0,103.0,75.0,2.761042826801645,2.06,0.4247413575649261,670.8504975648824,0.7767097032751754,13436,True,True,True,True,True,True,0,0.5072399533130123,0.8863485457458145,0.06724427744894106,1.0,0.4602496167455339,0.2262980467438847,-0.1338620818846774,0.08223399529245985,0.9626235399820304,0.24481903664808655,0.16246803273357405,0.12263291583358835,0.2709330939864031,0.9165998396150759,0.6468490026422624,0.5864645180705264,0.5541324808643403
ok,birch,hierarchical-centroid,umap_integrated_nn10_md00,"{""branching_factor"": 25, ""n_clusters"": 7, ""threshold"": 1.0}",7,0,0.0,530,54.0,105.0,76.0,2.761948842218172,1.9444444444444444,0.428874135017395,682.0206292221428,0.7691817509608408,13944,True,True,True,True,True,True,0,0.5121887449415138,0.8879846607642471,0.06840445313956048,1.0,0.46276257224369405,0.24913334425790318,-0.14620184119080518,0.09099927007841982,0.9362982929020666,0.24088059970369072,0.16959762367538045,0.11773713268996935,0.2880551445809121,0.857858861267041,0.6389947405276397,0.5896943215796541,0.5476136013571689
ok,spectral,graph-based,umap_integrated_nn10_md01,"{""affinity"": ""rbf"", ""n_clusters"": 5}",5,0,0.0,530,66.0,138.0,124.0,2.256948194568946,2.090909090909091,0.4239024817943573,600.0883477939026,0.7693954128841287,14411,True,True,True,True,True,True,0,0.5062354420760805,0.8879382237695689,0.05989463032755731,1.0,0.45853752943938814,0.23823908425808765,-0.18616577935610784,0.06847713881240944,0.9561545372866127,0.25129133004124005,0.18591285026085122,0.12013007595061267,0.2440605088793036,0.9021651964715316,0.6428337184895229,0.5842640391550139,0.5404869708887207
ok,leiden_knn,community-graph,umap_integrated_nn10_md03,"{""n_neighbors"": 20, ""resolution"": 0.5}",6,0,0.0,530,42.0,133.0,88.5,2.494307128077325,3.1666666666666665,0.373335063457489,463.7540290677149,0.7913492052580459,15252,True,True,True,True,True,True,0,0.4456835204160056,0.8831668160992359,0.045734388780137934,1.0,0.4323728741704072,0.2506243175634507,-0.17474697727111435,0.08047579962962469,0.9465408805031446,0.25289328240770775,0.1859595065479637,0.1212374457210063,0.2674986420348989,0.8807137129109863,0.6446102621352146,0.5506356301104671,0.5363482272490716
ok,spectral,graph-based,umap_integrated_nn10_md03,"{""affinity"": ""nearest_neighbors"", ""n_clusters"": 9}",9,0,0.0,530,37.0,101.0,58.0,3.107224490982148,2.72972972972973,0.3843747675418854,530.7802585584104,0.7649200732529036,15054,True,True,True,True,True,True,1,0.4589030067741098,0.8889108880582748,0.052696007897531184,1.0,0.3404633207628036,0.2505141382432224,-0.1546901588129598,0.0884324194207495,0.9293800539083558,0.32283783733309757,0.15684422951329782,0.17893321727917894,0.28304106939189716,0.842421812349639,0.7371710842610705,0.43250787244202515,0.5231099217198122
ok,affinity_propagation,message-passing,umap_integrated_nn10_md01,"{""damping"": 0.7, ""preference"": -50}",9,0,0.0,530,52.0,73.0,57.0,3.1609023545641186,1.4038461538461535,0.4262900054454803,687.7798418568657,0.7720688992662946,14469,True,True,True,True,True,True,1,0.5090943806938539,0.8873571718395363,0.06900262858645154,1.0,0.3616408419413226,0.2626090381160401,-0.15731017707068431,0.09464135204135032,0.8977538185085354,0.3094908617097841,0.156056210867535,0.1698267399365884,0.2951695720417068,0.7718524458700879,0.7225616422389495,0.4597265129102252,0.5171237960639612
