experiment_id,algorithm,family,space_name,params_json,n_clusters,noise_fraction,min_cluster_size,max_cluster_size,silhouette,davies_bouldin,calinski_harabasz,S_struct,hrv_var_reduction,hrv_iqr_compactness,S_hrv_intra_raw,S_hrv_rel_raw,E_ext_raw,D_dom_raw,S_desc_raw,S_primary
11855,optics,density-based,umap_hrv_log_nn30_md00,"{""min_cluster_size"": 0.05, ""min_samples"": 20, ""xi"": 0.05}",8,0.4169811320754717,27.0,64.0,0.7539946436882019,0.323285155296789,8215.08657848909,0.7820017790867131,0.38736190007312593,0.3918841080244932,0.3891707832536728,0.7252273077515795,0.05214324926707744,0.6333895314078303,-0.15351658493539488,0.6728175961927761
11822,optics,density-based,umap_hrv_log_nn30_md00,"{""min_cluster_size"": 0.05, ""min_samples"": 5, ""xi"": 0.1}",8,0.4075471698113208,26.0,55.0,0.7319109439849854,0.3745072819931831,7460.501413321796,0.7507563942510193,0.3871351420957126,0.3329855951153587,0.365475323303571,0.7013952077646345,0.05163892180745838,0.6468742951800264,-0.15791504328878703,0.6345308063362083
4,kmeans,centroid-based,hrv_raw_scaled,"{""n_clusters"": 6}",6,0.0,10.0,172.0,0.2778030223018009,1.1673009307017497,152.63491081633654,0.35974352187970793,0.5853174305646345,0.10955911099745376,0.39501410273776216,0.9194070080862532,0.03039475334035382,0.5780444688175503,-0.15213701330701743,0.6282340228103994
3,kmeans,centroid-based,hrv_raw_scaled,"{""n_clusters"": 5}",5,0.0,15.0,172.0,0.2578019915619012,1.274984177296138,153.49347503559397,0.3443621184760493,0.5322672338745428,0.1019378454197059,0.360135478492608,0.9073674752920036,0.028262632215456777,0.6670846932986887,-0.18034156543878685,0.5850230705267147
13436,gmm,model-based,umap_integrated_nn10_md00,"{""covariance_type"": ""tied"", ""n_components"": 7}",7,0.0,50.0,103.0,0.4247413575649261,0.7767097032751754,670.8504975648824,0.4602496167455339,0.2262980467438847,-0.1338620818846774,0.08223399529245985,0.9626235399820304,0.24481903664808655,0.16246803273357405,0.12263291583358835,0.5541324808643403
13944,birch,hierarchical-centroid,umap_integrated_nn10_md00,"{""branching_factor"": 25, ""n_clusters"": 7, ""threshold"": 1.0}",7,0.0,54.0,105.0,0.428874135017395,0.7691817509608408,682.0206292221428,0.46276257224369405,0.24913334425790318,-0.14620184119080518,0.09099927007841982,0.9362982929020666,0.24088059970369072,0.16959762367538045,0.11773713268996935,0.5476136013571689
14411,spectral,graph-based,umap_integrated_nn10_md01,"{""affinity"": ""rbf"", ""n_clusters"": 5}",5,0.0,66.0,138.0,0.4239024817943573,0.7693954128841287,600.0883477939026,0.45853752943938814,0.23823908425808765,-0.18616577935610784,0.06847713881240944,0.9561545372866127,0.25129133004124005,0.18591285026085122,0.12013007595061267,0.5404869708887207
15252,leiden_knn,community-graph,umap_integrated_nn10_md03,"{""n_neighbors"": 20, ""resolution"": 0.5}",6,0.0,42.0,133.0,0.373335063457489,0.7913492052580459,463.7540290677149,0.4323728741704072,0.2506243175634507,-0.17474697727111435,0.08047579962962469,0.9465408805031446,0.25289328240770775,0.1859595065479637,0.1212374457210063,0.5363482272490716
15054,spectral,graph-based,umap_integrated_nn10_md03,"{""affinity"": ""nearest_neighbors"", ""n_clusters"": 9}",9,0.0,37.0,101.0,0.3843747675418854,0.7649200732529036,530.7802585584104,0.3404633207628036,0.2505141382432224,-0.1546901588129598,0.0884324194207495,0.9293800539083558,0.32283783733309757,0.15684422951329782,0.17893321727917894,0.5231099217198122
14469,affinity_propagation,message-passing,umap_integrated_nn10_md01,"{""damping"": 0.7, ""preference"": -50}",9,0.0,52.0,73.0,0.4262900054454803,0.7720688992662946,687.7798418568657,0.3616408419413226,0.2626090381160401,-0.15731017707068431,0.09464135204135032,0.8977538185085354,0.3094908617097841,0.156056210867535,0.1698267399365884,0.5171237960639612
